user_id,alcohol,babies,bakery,beverages,breakfast,bulk,canned goods,dairy eggs,deli,dry goods pasta,frozen,household,international,meat seafood,missing,other,pantry,personal care,pets,produce,snacks
3,0,0,0,1,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0,3,3
7,0,0,1,7,0,0,2,4,3,0,1,0,0,1,0,0,0,0,0,2,3
10,0,0,0,0,0,0,0,5,4,0,0,0,0,4,0,0,4,0,0,13,0
13,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,1
17,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0,1,1,0,0,1,2,1,0,2,1,0,0,0,0,1,0,0,0,3
30,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,7,1
37,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,5,0,0,7,0
38,0,0,4,7,0,0,0,12,0,4,3,3,0,2,0,0,4,0,0,8,3
42,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0
43,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,10,0
46,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
54,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,5,0
56,0,0,0,0,0,0,0,4,0,1,2,0,0,0,1,1,0,0,0,5,3
57,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
58,0,0,1,3,0,0,0,2,1,2,1,0,0,0,0,1,2,0,0,1,1
59,0,3,0,0,1,0,0,4,1,0,1,0,0,1,0,0,3,0,0,5,2
62,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,3,0
63,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0,0,6,2
75,0,0,1,0,0,0,2,2,1,3,3,0,0,0,0,0,0,2,0,12,1
77,0,2,1,0,0,0,1,11,3,1,0,0,0,2,0,0,6,0,0,6,5
78,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0,0,1
81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
86,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5
93,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
96,0,0,1,0,1,0,0,1,0,2,6,0,0,0,0,0,0,0,0,2,3
103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
